,Return,Std Dev,Symbol(Name)
580029,5.37,18.94,580029 (KB 인버스 KOSPI 200 선물 ETN)
570096,5.84,19.66,570096 (한투 인버스 2X 일본 엔선물 ETN)
580033,6.79,46.02,580033 (KB 인버스 2X 구리 선물 ETN(H))
530002,-4.29,21.48,530002 (삼성 인버스 China A50 선물 ETN(H))
520077,336.18,79.08,520077 (미래에셋 -1.5X 천연가스 선물 ETN)
570070,9.49,61.7,570070 (한투 인버스 2X 플래티넘 선물 ETN)
520040,-1.41,30.19,520040 (미래에셋 인버스 코스닥150 선물 ETN)
610037,-6.88,17.32,610037 (메리츠 미국채30년 ETN(H))
580043,53.09,60.17,580043 (KB 레버리지 KOSDAQ 150 선물 ETN)
700012,25.35,49.98,700012 (하나 인버스 2X 옥수수 선물 ETN(H))
570085,11.1,27.83,570085 (한투 블룸버그 인도네시아 대표원자재 ETN)
580023,-10.25,28.95,580023 (KB 인버스 2X 금 선물 ETN(H))
550090,-48.46,71.34,550090 (N2 월간 레버리지 코스닥 150 선물 ETN)
500056,16.43,44.35,500056 (신한 레버리지 Russell 2000 ETN)
580056,40.63,27.46,580056 (KB 일본 로보틱스 TOP 10 ETN)
610012,19.75,28.74,610012 (메리츠 레버리지 금 선물 ETN(H))
580034,66.75,59.9,580034 (KB 레버리지 FANG 플러스 ETN(H))
550072,8.86,71.51,550072 (N2 블룸버그 -2X WTI원유선물 ETN)
570089,41.41,36.06,570089 (한투 인버스 0.5X S&P500 VIX S/T 선물 ETN)
550086,15.02,7.26,550086 (N2 미국달러 SOFR금리 플러스 ETN)
610036,20.66,46.34,610036 (메리츠 인버스 2X 대표 농산물 선물 ETN(H))
570094,-2.83,9.93,570094 (한투 일본 엔선물 ETN C)
610015,-1.39,29.73,610015 (메리츠 인버스 은 선물 ETN(H))
500014,3.25,24.09,500014 (신한 인버스 옥수수 선물 ETN(H))
530089,8.87,29.33,530089 (삼성 은 선물 ETN(H))
610013,-6.21,45.03,610013 (메리츠 인버스 2X 금 선물 ETN(H))
510034,0.49,5.8,510034 (대신 인버스 국채10년 ETN)
520061,26.55,19.78,520061 (미래에셋 인도네시아 Top5 ETN)
530098,10.01,34.57,530098 (삼성 블룸버그 WTI원유 선물 ETN)
610074,22.68,7.89,610074 (메리츠 미국채10년 ETN)
700015,11.77,68.24,700015 (하나 S&P 레버리지 WTI원유 선물 ETN)
500055,4.48,29.36,500055 (신한 인버스 Russell 2000 ETN)
530096,5.22,23.07,530096 (삼성 인버스 구리 선물 ETN(H))
580062,326.39,53.13,580062 (KB 레버리지 미국채 30년 ETN)
530112,26.81,10.87,530112 (삼성 S&P500 ETN)
530083,10.14,14.44,530083 (삼성 금 선물 ETN(H))
610055,5.78,4.41,610055 (메리츠 3X 레버리지 국채3년 ETN)
700016,10.27,71.84,700016 (하나 S&P 인버스 2X WTI원유 선물 ETN)
550065,-7.09,57.75,550065 (N2 인버스 레버리지 은 선물 ETN(H))
530090,-2.59,29.19,530090 (삼성 인버스 은 선물 ETN(H))
570072,2.72,42.8,570072 (한투 레버리지 구리 선물 ETN)
550045,-17.81,42.29,550045 (N2 인버스 레버리지 S&P500 ETN)
530019,13.61,19.68,530019 (삼성 미국 대형 성장주 ETN)
570073,15.39,50.41,570073 (한투 인버스 2X 구리 선물 ETN)
530120,-5.16,27.18,530120 (삼성 나스닥 100 ETN)
550070,7.42,46.39,550070 (N2 인버스 레버리지 구리 선물 ETN(H))
760001,8.98,9.86,760001 (키움 미국달러선물 ETN)
610072,13.66,14.27,610072 (메리츠 KAP 레버리지 중국 위안화 ETN)
500011,2.86,6.94,500011 (신한 달러인덱스 선물 ETN(H))
510029,291.12,119.01,510029 (대신 S&P 인버스 2X 천연가스 선물 ETN)
500061,5.2,18.5,500061 (신한 인버스 코스피 200 선물 ETN)
610077,36.6,13.68,610077 (메리츠 미국채30년 ETN)
570055,14.46,13.01,570055 (한투 금 선물 ETN)
520065,19.97,38.1,520065 (미래에셋 -2X 미국채울트라30년 선물 ETN)
570050,18.08,15.26,570050 (한투 S&P500 선물 ETN)
500018,9.78,21.76,500018 (신한 구리 선물 ETN(H))
