Cluster,Symbol,Name,Return,Std Dev
7,TTWO.O,테이크-투 인터랙티브 소프트웨어,29.03,34.83
7,HCA,HCA 헬스케어,27.29,33.74
7,ADSK.O,오토데스크,25.45,35.99
7,ODFL.O,올드 도미니언 프라이트 라인,30.48,32.96
7,LEN,레나 Class A,27.38,36.68
7,MOH,몰리나 헬스케어,32.86,39.39
7,TER.O,테라다인,28.67,37.78
7,PHM,풀티 그룹,30.2,39.21
7,CNC,센틴,29.04,35.78
7,GDDY.K,고대디,29.03,34.91
7,PODD.O,인슐릿,29.96,41.04
7,ZBRA.O,지브라 테크놀로지스,28.04,36.09
7,MKTX.O,마켓액세스 홀딩스,28.15,33.01
8,MSFT.O,마이크로소프트,26.3,25.69
8,GOOGL.O,알파벳 Class A,24.9,27.21
8,LLY,일라이 릴리,29.8,24.97
8,UNH,유나이티드헬스 그룹,27.1,25.08
8,MA,마스터카드,28.87,27.17
8,ADBE.O,어도비,30.1,31.87
8,RTX,RTX,26.79,29.06
8,CDW.O,CDW,29.91,27.93
8,INTU.O,인튜이트,27.86,29.07
8,SPGI.K,S&P 글로벌,25.88,25.3
8,ISRG.O,인튜이티브 서지컬,26.29,31.66
8,SNPS.O,시놉시스,30.13,26.48
8,ORLY.O,오레일리 오토모티브,29.31,25.35
8,IDXX.O,아이덱스 래보라토리스,26.38,28.77
8,TSCO.O,트랙터 서플라이,26.71,28.77
8,MSCI.K,MSCI,28.47,30.08
8,CTAS.O,신타스,31.29,24.67
8,MCO,무디스,29.0,28.17
8,PWR,콴타 서비스,25.86,32.46
8,CSGP.O,코스타 그룹,28.99,30.98
8,STZ,컨스텔레이션 브랜즈,26.08,28.55
8,WST,웨스트 파마슈티컬 서비시즈,26.45,27.52
8,IT,가트너,28.18,27.87
8,NVR,NVR,24.93,28.94
8,GEHC.O,GE HealthCare Technologies Inc,29.04,30.79
8,POOL.O,풀,26.59,28.91
9,OKE,원오케이,19.48,37.85
9,LYB,라이온델바젤 인더스트리스,21.03,35.33
9,VLO,발레로 에너지,26.05,38.96
9,STX.O,씨게이트 테크놀로지 홀딩스,24.98,40.63
9,EXPE.O,익스피디아그룹,25.67,41.73
9,DAL,델타 에어라인스,22.53,39.01
9,SWKS.O,스카이웍스 솔루션스,23.54,40.66
9,CF,CF 인더스트리스 홀딩스,21.69,39.19
9,DFS,디스커버 파이낸셜 서비스,24.24,35.06
9,BIIB.O,바이오젠,19.21,39.2
9,MGM,MGM 리조트 인터내셔널,21.37,44.11
9,STLD.O,스틸 다이내믹스,24.13,37.64
9,LYV,라이브 네이션 엔터테인먼트,24.49,37.34
9,INCY.O,인사이트,21.99,40.86
9,JBL,자빌,23.1,35.95
9,CTLT.K,캐털란트,21.11,40.44
9,DAY,데이포스,21.34,45.32
10,UBER.K,우버 테크놀로지스,28.08,54.2
10,FSLR.O,퍼스트 솔라,19.34,53.18
10,NCLH.K,노르웨이지안 크루즈 라인 홀딩스,12.74,55.82
10,ETSY.O,엣시,26.87,59.44
10,MTCH.O,매치 그룹,24.46,47.89
11,GOOG.O,알파벳 Class C,23.23,27.95
11,SBUX.O,스타벅스,19.61,27.37
11,ETN,이튼,21.18,28.0
11,ADI.O,애널로그 디바이시스,20.3,28.93
