,Return,Std Dev,Symbol(Name)
100790,23.36,51.85,100790 (미래에셋벤처투자)
094480,29.58,66.79,094480 (갤럭시아머니트리)
082850,15.02,60.4,082850 (우리바이오)
078020,1.84,26.46,078020 (LS증권)
101730,18.14,67.81,101730 (위메이드맥스)
027360,29.17,53.34,027360 (아주IB투자)
064090,35.74,90.65,064090 (웨스트라이즈)
024060,37.32,62.51,024060 (흥구석유)
078150,22.54,54.77,078150 (HB테크놀러지)
200710,35.68,62.0,200710 (에이디테크놀로지)
255220,35.55,66.55,255220 (SG)
118990,19.01,60.56,118990 (모트렉스)
060720,10.43,52.27,060720 (KH바텍)
317690,14.64,73.15,317690 (퀀타매트릭스)
023410,11.62,45.82,023410 (유진기업)
217270,10.36,59.15,217270 (넵튠)
054950,9.29,40.74,054950 (제이브이엠)
441270,-7.81,56.55,441270 (파인엠텍)
033790,35.16,65.44,033790 (스카이문스테크놀로지)
950140,26.29,56.7,950140 (잉글우드랩)
077360,11.39,48.66,077360 (덕산하이메탈)
211050,111.7,105.45,211050 (인카금융서비스)
389020,51.79,95.44,389020 (자람테크놀로지)
089970,19.09,50.14,089970 (브이엠)
425420,131.24,81.55,425420 (티에프이)
100120,18.89,45.59,100120 (뷰웍스)
263720,33.63,59.7,263720 (디앤씨미디어)
108230,17.9,49.95,108230 (톱텍)
033640,12.44,51.91,033640 (네패스)
121800,21.17,74.48,121800 (비덴트)
461030,-69.7,119.55,461030 (아이엠비디엑스)
123860,12.06,47.62,123860 (아나패스)
083650,14.23,58.86,083650 (비에이치아이)
453450,-79.69,136.24,453450 (그리드위즈)
299900,36.62,63.18,299900 (위지윅스튜디오)
039840,17.41,48.44,039840 (디오)
950170,-5.4,52.35,950170 (JTC)
425040,52.23,108.98,425040 (티이엠씨)
357550,40.84,61.9,357550 (석경에이티)
307750,45.51,68.51,307750 (국전약품)
024850,39.62,73.36,024850 (HLB이노베이션)
348340,41.85,76.45,348340 (뉴로메카)
268600,30.07,75.82,268600 (셀리버리)
078350,23.52,50.8,078350 (한양디지텍)
148150,21.41,55.35,148150 (세경하이테크)
086890,10.74,57.75,086890 (이수앱지스)
096040,12.34,73.88,096040 (이트론)
126600,11.3,46.18,126600 (BGF에코머티리얼즈)
108490,17.99,59.82,108490 (로보티즈)
150840,34.99,68.54,150840 (인트로메딕)
235980,9.3,71.97,235980 (메드팩토)
102120,24.02,51.25,102120 (어보브반도체)
144960,20.31,48.93,144960 (뉴파워프라즈마)
036200,33.06,52.41,036200 (유니셈)
214680,14.64,58.03,214680 (디알텍)
299030,5.62,61.97,299030 (하나기술)
254490,35.67,75.53,254490 (미래반도체)
437730,-80.9,60.26,437730 (삼현)
298830,-4.36,83.52,298830 (슈어소프트테크)
013120,14.43,30.38,013120 (동원개발)
056080,23.11,55.04,056080 (유진로봇)
900290,-2.92,47.6,900290 (GRT)
412540,-93.54,66.01,412540 (제일엠앤에스)
126340,64.1,70.83,126340 (비나텍)
064260,7.64,55.73,064260 (다날)
208340,-10.53,72.63,208340 (파멥신)
051500,9.84,37.91,051500 (CJ프레시웨이)
179290,28.15,60.37,179290 (엠아이텍)
086980,26.67,51.83,086980 (쇼박스)
048530,25.06,61.11,048530 (인트론바이오)
030530,12.72,47.92,030530 (원익홀딩스)
048870,20.46,73.2,048870 (시너지이노베이션)
290550,37.68,60.84,290550 (디케이티)
034810,8.19,39.63,034810 (해성산업)
090360,24.91,54.9,090360 (로보스타)
054450,14.68,47.35,054450 (텔레칩스)
270660,81.01,97.73,270660 (에브리봇)
086390,30.89,54.31,086390 (유니테스트)
043370,11.15,41.66,043370 (피에이치에이)
214430,11.81,45.57,214430 (아이쓰리시스템)
278650,25.98,81.45,278650 (HLB바이오스텝)
061970,17.54,55.85,061970 (LB세미콘)
417010,-34.82,70.83,417010 (나노팀)
371950,-9.41,62.8,371950 (풍원정밀)
204620,9.96,46.45,204620 (글로벌텍스프리)
083930,20.54,48.97,083930 (아바코)
389260,26.17,74.89,389260 (대명에너지)
017890,13.97,39.76,017890 (한국알콜)
014940,-1.55,60.81,014940 (오리엔탈정공)
322510,45.84,75.28,322510 (제이엘케이)
032620,17.14,48.76,032620 (유비케어)
080160,7.77,40.85,080160 (모두투어)
047310,12.78,57.32,047310 (파워로직스)
270520,39.59,66.04,270520 (지오릿에너지)
064290,16.01,54.25,064290 (인텍플러스)
057880,18.43,68.22,057880 (푸른소나무)
052400,8.59,48.44,052400 (코나아이)
052420,-2.0,75.39,052420 (오성첨단소재)
226950,5.06,65.71,226950 (올릭스)
452280,-11.84,94.31,452280 (한선엔지니어링)
078160,14.26,54.7,078160 (메디포스트)
089600,15.86,46.17,089600 (나스미디어)
011040,9.49,35.07,011040 (경동제약)
097800,17.14,62.19,097800 (윈팩)
083310,24.97,50.39,083310 (엘오티베큠)
143240,15.7,45.7,143240 (사람인)
071280,29.71,53.5,071280 (로체시스템즈)
064800,21.49,58.01,064800 (포니링크)
036030,7.61,48.75,036030 (케이티알파)
203400,27.64,67.63,203400 (에이비온)
045390,20.94,56.93,045390 (대아티아이)
032300,37.02,78.44,032300 (한국파마)
038290,21.05,53.12,038290 (마크로젠)
293780,13.06,74.41,293780 (압타바이오)
109610,43.72,71.83,109610 (에스와이)
042370,15.65,51.55,042370 (비츠로테크)
194700,9.51,41.68,194700 (노바렉스)
084990,19.51,61.46,084990 (헬릭스미스)
082800,10.2,64.67,082800 (비보존 제약)
330860,-8.82,53.46,330860 (네패스아크)
448280,-72.39,74.96,448280 (에코아이)
101930,10.69,37.04,101930 (인화정공)
190510,21.2,54.85,190510 (나무가)
439580,-67.27,94.38,439580 (블루엠텍)
067390,-7.85,62.0,067390 (아스트)
024810,13.74,70.95,024810 (이화전기)
036800,18.05,32.88,036800 (나이스정보통신)
092190,-4.62,59.89,092190 (서울바이오시스)
092870,26.8,55.75,092870 (엑시콘)
073010,10.45,49.05,073010 (케이에스피)
452200,-59.69,91.88,452200 (민테크)
083790,14.65,58.16,083790 (CG인바이츠)
036890,15.45,48.11,036890 (진성티이씨)
029480,-1.09,83.54,029480 (광무)
299660,12.01,80.83,299660 (셀리드)
067080,29.12,58.1,067080 (대화제약)
377450,-0.6,42.01,377450 (리파인)
236200,10.62,42.24,236200 (슈프리마)
122990,12.33,42.96,122990 (와이솔)
131370,17.21,56.39,131370 (알서포트)
035080,4.67,48.98,035080 (그래디언트)
053080,19.02,60.63,053080 (케이엔솔)
100130,5.14,48.85,100130 (동국S&C)
068930,16.27,39.45,068930 (디지털대성)
396470,138.75,101.61,396470 (워트)
146320,-5.17,49.88,146320 (비씨엔씨)
033160,12.8,44.05,033160 (엠케이전자)
016790,43.8,90.14,016790 (현대사료)
322310,-6.33,68.62,322310 (오로스테크놀로지)
305090,31.57,70.16,305090 (마이크로디지탈)
122450,14.02,43.14,122450 (KX)
023760,2.73,28.69,023760 (한국캐피탈)
443670,-13.7,128.59,443670 (에스피소프트)
078070,14.23,44.0,078070 (유비쿼스홀딩스)
138610,29.54,67.31,138610 (나이벡)
405100,41.11,72.97,405100 (큐알티)
211270,14.04,48.96,211270 (AP위성)
090710,25.93,67.39,090710 (휴림로봇)
067280,3.6,39.66,067280 (멀티캠퍼스)
079940,27.12,49.34,079940 (가비아)
060590,20.34,54.82,060590 (씨티씨바이오)
217330,27.25,58.69,217330 (싸이토젠)
096240,7.18,38.93,096240 (크레버스)
462350,-98.48,81.07,462350 (이노스페이스)
182360,30.83,60.52,182360 (큐브엔터)
110790,-7.61,46.06,110790 (크리스에프앤씨)
093640,40.1,70.21,093640 (케이알엠)
046440,11.96,48.94,046440 (KG모빌리언스)
005860,31.79,62.92,005860 (한일사료)
089890,40.75,56.57,089890 (코세스)
136540,16.6,39.3,136540 (윈스)
149950,9.08,43.11,149950 (아바텍)
457550,96.54,134.05,457550 (우진엔텍)
019210,12.12,41.2,019210 (와이지-원)
006620,-2.51,45.41,006620 (동구바이오제약)
297090,39.11,69.5,297090 (씨에스베어링)
035810,12.98,47.96,035810 (이지홀딩스)
106190,15.55,45.58,106190 (하이텍팜)
214180,0.98,36.94,214180 (헥토이노베이션)
079810,33.65,61.03,079810 (디이엔티)
049950,31.87,57.89,049950 (미래컴퍼니)
045970,14.6,49.84,045970 (코아시아)
092730,20.78,48.15,092730 (네오팜)
052260,16.87,47.83,052260 (현대바이오랜드)
225530,30.67,60.49,225530 (보광산업)
182400,5.46,61.23,182400 (엔케이맥스)
304100,19.45,68.35,304100 (솔트룩스)
009300,24.28,45.46,009300 (삼아제약)
354320,-60.05,72.84,354320 (알멕)
143160,15.01,46.33,143160 (아이디스)
273640,-7.02,54.93,273640 (와이엠텍)
054210,20.76,55.79,054210 (이랜텍)
101670,26.62,67.17,101670 (하이드로리튬)
064820,10.97,48.31,064820 (케이프)
200470,29.91,56.95,200470 (에이팩트)
472850,-62.51,44.11,472850 (폰드그룹)
402490,-60.46,88.5,402490 (그린리소스)
063570,14.34,44.05,063570 (한국전자금융)
264850,30.61,52.2,264850 (이랜시스)
092070,30.62,51.56,092070 (디엔에프)
117730,29.66,63.34,117730 (티로보틱스)
053300,16.88,53.03,053300 (한국정보인증)
025950,31.94,67.69,025950 (동신건설)
112290,26.53,70.01,112290 (와이씨켐)
234690,8.18,53.98,234690 (녹십자웰빙)
123040,10.25,53.05,123040 (엠에스오토텍)
321550,0.08,57.0,321550 (티움바이오)
282880,6.78,48.53,282880 (코윈테크)
030960,35.47,61.96,030960 (양지사)
039980,16.41,56.48,039980 (폴라리스AI)
402030,39.85,87.64,402030 (코난테크놀로지)
048550,26.0,58.44,048550 (SM C&C)
214260,28.3,70.48,214260 (라파스)
234340,-11.01,44.93,234340 (헥토파이낸셜)
023910,26.54,40.91,023910 (대한약품)
036190,7.83,22.85,036190 (금화피에스시)
432720,-14.78,97.7,432720 (퀄리타스반도체)
