,Return,Std Dev,Symbol(Name)
437080,1.57,6.38,437080 (KODEX 미국종합채권ESG액티브(H))
466930,26.67,27.83,466930 (SOL 자동차TOP3플러스)
470310,-11.93,55.74,470310 (UNICORN 생성형AI강소기업액티브)
480040,64.73,41.95,480040 (ACE 미국반도체15%프리미엄분배(합성))
267770,12.53,37.32,267770 (TIGER 200선물레버리지)
461490,17.62,5.89,461490 (RISE 글로벌자산배분액티브)
150460,4.05,19.21,150460 (TIGER 중국소비테마)
283580,2.46,19.24,283580 (KODEX 차이나CSI300)
452250,-13.75,31.69,452250 (ACE 미국30년국채선물레버리지(합성 H))
448600,7.17,1.83,448600 (RISE 25-11 회사채(AA-이상)액티브)
437350,6.61,9.03,437350 (RISE 미국단기투자등급회사채액티브)
418660,50.85,46.14,418660 (TIGER 미국나스닥100레버리지(합성))
485540,-1.07,47.52,485540 (KODEX 미국AI테크TOP10)
476800,16.31,11.86,476800 (KODEX 한국부동산리츠인프라)
284430,3.97,6.94,284430 (KODEX 200미국채혼합)
144600,-1.19,28.83,144600 (KODEX 은선물(H))
441640,13.42,11.39,441640 (KODEX 미국배당프리미엄액티브)
453010,3.57,0.15,453010 (PLUS KOFR금리)
465780,7.17,1.57,465780 (마이티 26-09 특수채(AAA)액티브)
461500,14.12,2.84,461500 (HANARO 종합채권(AA-이상)액티브)
266420,12.22,29.86,266420 (KODEX 헬스케어)
449770,33.19,12.32,449770 (KOSEF 미국S&P500)
412570,-21.94,80.23,412570 (TIGER 2차전지TOP10레버리지)
204480,10.73,39.39,204480 (TIGER 차이나CSI300레버리지(합성))
138540,4.78,25.39,138540 (TIGER 현대차그룹+펀더멘털)
437070,7.7,8.72,437070 (KODEX 아시아달러채권ESG플러스액티브)
195980,1.28,16.98,195980 (PLUS 신흥국MSCI(합성 H))
481430,21.17,4.79,481430 (RISE 국고채10년액티브)
252710,-12.44,36.25,252710 (TIGER 200선물인버스2X)
477730,29.11,21.32,477730 (KODEX 인도타타그룹)
465660,52.9,36.45,465660 (TIGER 일본반도체FACTSET)
464240,6.58,1.47,464240 (히어로즈 26-09 회사채(AA-이상)액티브)
484880,87.07,33.47,484880 (SOL 금융지주플러스고배당)
269540,14.31,18.31,269540 (PLUS 미국S&P500(H))
