,Return,Std Dev,Symbol(Name)
DOCU.O,24.11,57.94,DOCU.O (도큐사인)
LKQ.O,16.01,31.86,LKQ.O (LKQ)
CYBR.O,38.8,48.23,CYBR.O (사이버아크 소프트웨어)
QRVO.O,14.24,42.21,QRVO.O (코보)
SAIA.O,40.96,42.41,SAIA.O (사이아)
MNDY.O,38.56,75.52,MNDY.O (먼데이닷컴)
NWSA.O,9.2,29.13,NWSA.O (뉴스 코퍼레이션 Class A)
BRKR.O,19.93,33.73,BRKR.O (브루커)
LEGN.O,26.06,52.78,LEGN.O (레전드 바이오테크 ADR)
CELH.O,196.87,122.32,CELH.O (셀시어스 홀딩스)
CHDN.O,32.58,33.48,CHDN.O (처칠 다운스)
DOX.O,10.23,19.33,DOX.O (암독스)
WBA.O,-1.91,29.74,WBA.O (월그린스 부츠 얼라이언스)
PPC.O,25.28,40.27,PPC.O (필그림즈 프라이드)
SFM.O,15.71,36.11,SFM.O (스프라우츠 파머스 마켓)
CHRD.O,29.37,33.74,CHRD.O (코드 에너지)
OLED.O,33.86,52.77,OLED.O (유니버설 디스플레이)
CHK.O,22.54,36.64,CHK.O (체사피크 에너지)
MTCH.O,25.14,47.94,MTCH.O (매치 그룹)
MMYT.O,25.15,53.62,MMYT.O (메이크마이트립)
WWD.O,19.67,34.44,WWD.O (우드워드)
LNW.O,40.09,37.74,LNW.O (라이트 앤 원더)
HSIC.O,12.02,24.12,HSIC.O (헨리 셰인)
RGEN.O,47.55,47.37,RGEN.O (레플리젠)
VFS.O,452.2,303.12,VFS.O (빈패스트 오토)
XP.O,3.2,61.6,XP.O (엑스피)
MKTX.O,28.23,32.97,MKTX.O (마켓액세스 홀딩스)
HTHT.O,29.68,48.06,HTHT.O (화주 그룹)
RGLD.O,15.29,36.3,RGLD.O (로얄 골드)
HAS.O,7.78,30.04,HAS.O (해즈브로)
FOXA.O,5.29,33.14,FOXA.O (폭스 Class A)
WYNN.O,10.77,45.5,WYNN.O (윈 리조트)
SEIC.O,11.74,25.91,SEIC.O (SEI 인베스트먼트)
CART.O,5.15,50.03,CART.O (메이플베어)
PCVX.O,57.69,65.3,PCVX.O (백사이트)
DSGX.O,28.43,31.11,DSGX.O (데카르트 시스템즈 그룹)
ITCI.O,73.38,97.6,ITCI.O (인트라 셀룰라 테라퓨틱스)
PCTY.O,32.18,44.4,PCTY.O (페일로시티 홀딩)
WIX.O,40.56,52.29,WIX.O (윅스닷컴)
FOX.O,3.05,32.11,FOX.O (폭스 Class B)
CERE.O,106.94,93.47,CERE.O (세러벨 테라퓨틱스 홀딩스)
LBRDK.O,8.77,29.8,LBRDK.O (리버티 브로드밴드 시리즈 C)
ESLT.O,13.37,26.48,ESLT.O (엘빗 시스템즈)
ENSG.O,36.58,35.55,ENSG.O (엔사인 그룹)
AFRM.O,16.73,104.08,AFRM.O (어펌 홀딩스)
FUTU.O,70.56,76.93,FUTU.O (푸투 홀딩스 ADR)
CBSH.O,10.42,24.71,CBSH.O (커머스 뱅크셰어스)
ROIV.O,33.34,71.39,ROIV.O (로이반트 사이언시스)
Z.O,21.54,53.41,Z.O (질로우 그룹 Class C)
WFRD.O,123.28,53.3,WFRD.O (웨더포드 인터네셔널)
IEP.O,1.77,36.61,IEP.O (Icahn Enterprises Units)
CZR.O,38.85,84.87,CZR.O (시저스 엔터테인먼트)
ASND.O,38.97,51.86,ASND.O (어센디스 파마 ADR)
FSV.O,26.55,28.28,FSV.O (퍼스트서비스)
ROKU.O,50.46,77.37,ROKU.O (로쿠)
OTEX.O,12.52,29.23,OTEX.O (오픈 텍스트)
APPF.O,48.31,44.68,APPF.O (앱폴리오)
AGNC.O,-4.01,24.3,AGNC.O (AGNC 인베스트먼트)
GTLB.O,6.05,82.67,GTLB.O (깃랩)
MIDD.O,21.69,34.13,MIDD.O (미들비)
UFPI.O,27.09,36.95,UFPI.O (UFP 인더스트리)
SPSC.O,37.41,36.72,SPSC.O (SPS 커머스)
DBX.O,4.54,40.19,DBX.O (드랍박스)
CROX.O,37.15,53.53,CROX.O (크록스)
SMMT.O,106.82,143.91,SMMT.O (서밋 테라퓨틱스 ADR)
RVMD.O,39.05,68.17,RVMD.O (레볼루션 메디신)
HLNE.O,39.01,35.03,HLNE.O (해밀턴 레인)
LCID.O,-30.21,84.77,LCID.O (루시드 그룹)
IONS.O,27.91,50.96,IONS.O (아이오니스 파마슈티컬스)
MKSI.O,21.26,38.49,MKSI.O (MKS 인스트루먼츠)
VNOM.O,14.76,47.26,VNOM.O (바이퍼 에너지)
SOFI.O,-13.08,70.41,SOFI.O (소파이 테크놀로지스)
AMKR.O,25.76,47.97,AMKR.O (앰코 테크놀로지)
MTSI.O,28.38,49.58,MTSI.O (M/A-컴 테크놀로지 솔루션스 홀딩스)
ALTR.O,36.17,41.38,ALTR.O (알테어 엔지니어링)
DRS.O,51.13,81.5,DRS.O (레오나르도 DRS)
WSC.O,24.17,36.96,WSC.O (윌스콧 홀딩스)
EXEL.O,35.82,57.33,EXEL.O (엑셀리시스)
JAZZ.O,27.97,36.2,JAZZ.O (재즈 파마슈티컬스)
DUOL.O,32.48,68.68,DUOL.O (듀오링고)
AAON.O,27.39,36.11,AAON.O (에이에이온)
ZION.O,12.5,36.95,ZION.O (자이언스 뱅코프)
GNTX.O,13.54,29.59,GNTX.O (젠텍스)
BPOP.O,15.81,35.67,BPOP.O (파퓰러)
PARA.O,-20.54,57.72,PARA.O (파라마운트 글로벌 Class B)
HALO.O,33.6,53.54,HALO.O (할로자임 테라퓨틱스)
PNFP.O,21.99,36.33,PNFP.O (피너클 파이낸셜 파트너스)
ETSY.O,28.24,59.46,ETSY.O (엣시)
LNTH.O,65.93,66.69,LNTH.O (랜티우스 홀딩스)
HCP.O,-6.03,75.46,HCP.O (하시코프)
ACHC.O,26.25,41.63,ACHC.O (아카디아 헬스케어)
WTFC.O,13.79,33.84,WTFC.O (윈트러스트 파이낸셜)
CIGI.O,24.22,33.0,CIGI.O (콜리어스 인터내셔널 그룹)
FYBR.O,10.82,46.5,FYBR.O (프론티어 커뮤니케이션 패런트)
AUR.O,12.85,96.8,AUR.O (오로라 이노베이션)
HQY.O,27.42,45.3,HQY.O (헬스에퀴티)
NXT.O,44.16,55.57,NXT.O (넥스트래커)
CYTK.O,40.75,69.7,CYTK.O (사이토키네틱스)
ALAB.O,-50.97,80.41,ALAB.O (아스테라 랩스)
CGNX.O,25.52,38.81,CGNX.O (코그넥스)
LSTR.O,15.07,24.67,LSTR.O (랜드스타 시스템)
TEM.O,67.66,123.22,TEM.O (템퍼스 AI)
MAT.O,5.28,35.79,MAT.O (마텔)
BILI.O,39.62,76.26,BILI.O (빌리빌리 ADR)
CCCS.O,13.85,25.62,CCCS.O (CCC 인텔리전트 솔루션스 홀딩스)
AAL.O,3.48,49.78,AAL.O (아메리칸 에어라인스 그룹)
SAIC.O,18.78,30.62,SAIC.O (사이언스 어플리케이션스 인터내셔널)
CFLT.O,7.62,81.98,CFLT.O (콘플루언트)
BOKF.O,10.04,30.63,BOKF.O (BOK 파이낸셜)
LSCC.O,30.49,48.06,LSCC.O (래티스 세미컨덕터)
CRUS.O,26.82,45.99,CRUS.O (시러스 로직)
BPMC.O,39.75,56.6,BPMC.O (블루프린트 메디슨스)
LFUS.O,21.26,31.91,LFUS.O (리틀휴즈)
CHX.O,34.68,45.28,CHX.O (챔피언엑스)
CVLT.O,21.36,36.76,CVLT.O (컴볼트 시스템즈)
NSIT.O,28.38,36.23,NSIT.O (인사이트 엔터프라이지즈)
TLN.O,-70.32,85.83,TLN.O (탈렌 에너지)
CWST.O,34.01,35.41,CWST.O (카셀라 웨이스트 시스템즈)
REYN.O,3.1,24.24,REYN.O (레이놀드 컨슈머 프라덕츠)
BZ.O,-4.08,75.58,BZ.O (칸준 ADR)
RCM.O,43.85,51.72,RCM.O (R1 Rcm)
ONB.O,8.72,29.08,ONB.O (올드 내셔널 뱅코프)
FRPT.O,37.04,50.09,FRPT.O (프레시펫)
OLLI.O,29.97,43.34,OLLI.O (올리스 바겐 아웃렛 홀딩스)
VKTX.O,89.42,105.66,VKTX.O (바이킹 테라퓨틱스)
