,Return,Std Dev,Symbol(Name)
CMI,14.65,28.49,CMI (커민스)
RCL,28.28,48.19,RCL (로얄 캐리비안 크루즈)
BLDR.K,67.47,44.76,BLDR.K (빌더스 퍼스트소스)
TRGP.K,27.51,47.79,TRGP.K (타르가 리소스)
FDS,16.98,24.67,FDS (팩트셋 리서치 시스템즈)
O,6.91,24.34,O (리얼티 인컴)
LW,18.55,32.18,LW (램 웨스턴 홀딩스)
PEG,8.12,20.79,PEG (퍼블릭 서비스 엔터프라이즈)
ECL,15.21,23.5,ECL (이콜랩)
NEM,3.64,35.18,NEM (뉴몬트)
ALB,14.81,39.56,ALB (앨버말)
IDXX.O,26.52,28.77,IDXX.O (아이덱스 래보라토리스)
FANG.O,38.75,48.5,FANG.O (다이아몬드백 에너지)
PCG,6.73,50.38,PCG (퍼시픽 가스 & 일렉트릭)
PNC,11.04,28.0,PNC (PNC 파이낸셜 서비스)
TER.O,29.69,37.38,TER.O (테라다인)
ROP.O,20.72,22.43,ROP.O (로퍼 테크놀로지스)
NTAP.O,15.14,33.31,NTAP.O (넷앱)
SYF,15.37,37.4,SYF (싱크로니 파이낸셜)
ALL,15.84,23.1,ALL (올스테이트)
KDP.O,6.82,19.05,KDP.O (큐리그 닥터 페퍼)
PHM,29.45,39.22,PHM (풀티 그룹)
CTSH.O,11.51,29.02,CTSH.O (코그니전트 테크놀로지 솔루션)
HBAN.O,11.8,33.0,HBAN.O (헌팅턴 뱅크셰어스)
WST,27.41,27.23,WST (웨스트 파마슈티컬 서비시즈)
MSCI.K,27.33,30.08,MSCI.K (MSCI)
CAH,11.6,26.49,CAH (카디널 헬스)
NCLH.K,14.25,55.88,NCLH.K (노르웨이지안 크루즈 라인 홀딩스)
DHI,28.4,35.66,DHI (D R 호턴)
EPAM.K,36.23,43.91,EPAM.K (이팸 시스템즈)
DUK,6.9,18.87,DUK (듀크 에너지)
STZ,26.73,28.57,STZ (컨스텔레이션 브랜즈)
MCO,28.34,28.22,MCO (무디스)
EBAY.O,19.17,29.89,EBAY.O (이베이)
AON,18.42,22.02,AON (에이온)
ACGL.O,22.56,23.82,ACGL.O (아치 캐피털 그룹)
GWW,20.87,26.63,GWW (W W 그레인저)
DVN,8.92,45.79,DVN (데번 에너지)
SRE,7.02,25.36,SRE (셈프라 에너지)
FAST.O,15.81,26.45,FAST.O (패스널)
TFC,7.33,30.85,TFC (트루이스트 파이낸셜)
FIS,11.44,26.94,FIS (피델리티 내셔널 인포메이션 서비스)
HPE,16.24,34.71,HPE (휴렛패커드 엔터프라이즈)
EQT,14.94,44.14,EQT (EQT)
AJG,20.47,20.37,AJG (아서 J 갤러거 앤 코)
APTV.K,19.21,36.48,APTV.K (앱티브)
WMB,15.58,38.21,WMB (윌리엄스 컴퍼니즈)
ON.O,30.23,44.47,ON.O (온 세미콘덕터)
EXR,22.54,25.56,EXR (엑스트라 스페이스 스토리지)
BKR.O,21.08,34.79,BKR.O (베이커 휴즈)
BK,10.01,27.06,BK (뱅크 오브 뉴욕 멜론)
ALLE.K,12.44,25.98,ALLE.K (얼리지언)
JCI,13.9,25.31,JCI (존슨 컨트롤스 인터내셔널)
WAB,20.98,30.04,WAB (웨스팅하우스 에어 브레이크 테크놀로지)
OKE,19.07,37.98,OKE (원오케이)
WRK,5.53,36.78,WRK (웨스트록)
DLTR.O,17.76,30.51,DLTR.O (달러 트리)
