Cluster,Symbol,Name,Return,Std Dev
27,449770,KOSEF 미국S&P500,36.66,11.69
27,520066,미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,39.38,15.43
27,426020,TIMEFOLIO 미국S&P500액티브,35.09,18.06
27,550087,N2 선진국 1등주 ETN,42.27,14.49
27,472720,TRUSTON 주주가치액티브,35.42,16.62
27,453650,KODEX 미국S&P500금융,38.29,14.85
27,478150,TIMEFOLIO 글로벌우주테크&방산액티브,33.98,12.22
27,530112,삼성 S&P500 ETN,36.02,9.94
27,570099,한투 S&P 인버스 2X 엔달러 선물 ETN(H),36.32,17.05
27,482870,HANARO 주주가치성장코리아액티브,32.48,13.4
27,463690,KODEX 미국S&P500커뮤니케이션,40.44,15.22
27,483030,KOSEF 미국블록버스터바이오테크의약품+,38.36,13.68
27,453660,KODEX 미국S&P500경기소비재,33.22,17.7
27,610077,메리츠 미국채30년 ETN,39.91,11.68
27,481340,RISE 미국30년국채액티브,43.61,15.3
27,459790,히어로즈 미국성장기업30액티브,36.69,16.01
28,019170,신풍제약,37.28,64.48
28,009470,삼화전기,38.11,59.73
28,322000,HD현대에너지솔루션,32.69,64.03
28,006340,대원전선,37.88,60.21
28,004090,한국석유,35.48,60.46
28,068290,삼성출판사,34.0,60.49
28,001380,SG글로벌,32.75,63.83
28,011390,부산산업,38.13,63.87
28,002140,고려산업,33.01,61.08
28,530061,삼성 레버리지 은 선물 ETN(H),35.15,62.53
28,152550,한국ANKOR유전,39.91,59.78
28,001067,JW중외제약2우B,33.34,60.58
28,000325,노루홀딩스우,40.03,65.45
28,090355,노루페인트우,38.18,64.7
28,005745,크라운해태홀딩스우,34.47,59.46
29,207940,삼성바이오로직스,36.3,39.04
29,138040,메리츠금융지주,31.89,36.06
29,014680,한솔케미칼,29.38,37.52
29,314250,KODEX 미국빅테크10(H),35.36,29.58
29,457480,ACE 테슬라밸류체인액티브,36.57,42.41
29,570022,한투 레버리지 S&P500 선물 ETN(H),30.15,38.37
29,570103,한투 인버스2X 나스닥100 ETN B,35.94,34.6
29,550044,N2 레버리지 S&P500 ETN,32.26,34.74
29,500050,신한 레버리지 S&P500 선물 ETN,34.68,35.86
29,434730,HANARO 원자력iSelect,35.73,28.76
29,520065,미래에셋 -2X 미국채울트라30년 선물 ETN,30.38,37.89
29,459370,SOL 유럽탄소배출권선물인버스ICE(H),36.96,37.13
30,068270,셀트리온,37.66,54.72
30,180640,한진칼,37.23,55.41
30,066970,엘앤에프,32.36,55.24
30,009420,한올바이오파마,34.96,55.89
30,005420,코스모화학,31.44,59.44
30,005390,신성통상,29.91,56.11
30,037270,YG PLUS,30.86,59.47
30,024900,덕양산업,31.23,56.43
30,120030,조선선재,37.36,54.05
30,008700,아남전자,31.7,60.0
30,004100,태양금속,31.92,55.86
30,012690,모나리자,30.89,58.51
30,011300,성안머티리얼스,31.11,59.01
30,084695,대상홀딩스우,36.35,54.66
30,530119,삼성 레버리지 항셍테크 ETN(H) B,29.25,56.54
31,267850,아시아나IDT,29.74,68.63
31,011000,진원생명과학,26.22,75.7
31,074610,이엔플러스,35.07,78.39
31,004830,덕성,36.11,68.43
31,004720,팜젠사이언스,27.33,72.7
31,33626K,두산퓨얼셀1우,36.22,68.55
31,004770,써니전자,32.29,70.51
31,033250,체시스,29.91,68.06
31,005110,한창,29.83,74.36
31,000545,흥국화재우,34.69,68.97
32,000990,DB하이텍,30.76,51.29
32,112610,씨에스윈드,27.99,49.92
32,012510,더존비즈온,27.49,49.12
32,002710,TCC스틸,33.24,48.12
32,090460,비에이치,35.5,51.2
32,007700,F&F홀딩스,33.13,50.93
32,075580,세진중공업,33.86,49.17
32,097520,엠씨넥스,29.12,51.63
32,026890,스틱인베스트먼트,31.31,53.76
32,007810,코리아써키트,27.73,51.22
32,081000,일진다이아,31.62,53.25
32,051630,진양화학,27.86,52.44
32,520047,미래에셋 인버스 2X 옥수수 선물 ETN,32.01,51.91
33,381170,TIGER 미국테크TOP10 INDXX,29.63,23.26
33,367380,ACE 미국나스닥100,25.97,19.83
33,368590,RISE 미국나스닥100,24.39,19.82
33,445290,KODEX K-로봇액티브,24.32,22.4
33,477730,KODEX 인도타타그룹,31.7,19.98
33,464310,TIGER 글로벌AI&로보틱스 INDXX,27.74,17.61
33,483330,ACE 마이크로소프트밸류체인액티브,28.45,23.6
33,472350,1Q 차이나H(H),25.98,24.34
33,520061,미래에셋 인도네시아 Top5 ETN,27.13,19.77
33,444200,SOL KEDI메가테크액티브,30.31,20.56
33,449690,TIGER 한중반도체(합성),29.24,20.2
33,450190,KODEX 한중반도체(합성),28.75,20.79
33,433220,에셋플러스 글로벌대장장이액티브,26.49,18.7
33,450120,KOSEF SK그룹대표주,24.79,21.66
33,426410,ARIRANG 미국대체투자Top10MV,34.79,23.09
34,458730,TIGER 미국배당다우존스,25.28,10.93
34,481060,KODEX 미국30년국채+12%프리미엄(합성 H),25.79,10.9
34,433330,SOL 미국S&P500,27.74,13.76
34,453330,RISE 미국S&P500(H),29.07,11.31
34,465670,TIGER 미국캐시카우100,29.98,13.87
34,444490,WOORI 미국S&P500,25.96,15.35
34,445690,BNK 주주가치액티브,23.8,14.44
34,435040,ACE 글로벌브랜드TOP10블룸버그,28.73,15.68
34,459750,RISE 글로벌주식분산액티브,28.53,11.42
34,472840,ITF 200,24.26,17.29
34,500085,신한 코스피 200 TR ETN,31.31,14.4
34,530117,삼성 코스피 200 TR ETN,27.62,16.32
34,449780,KOSEF 미국S&P500(H),28.41,12.75
34,476310,RISE 글로벌비만산업TOP2+,29.53,16.06
34,550080,N2 US 500 ETN(H),25.48,11.64
34,471460,히어로즈 국고채30년액티브,30.23,10.34
34,452440,VITA 밸류알파액티브,27.36,14.07
34,449580,RISE 미국빅데이터Top3채권혼합,24.29,12.29
34,462340,에셋플러스 글로벌다이나믹시니어액티브,26.15,11.82
35,381180,TIGER 미국필라델피아반도체나스닥,29.95,28.05
35,002840,미원상사,30.29,29.78
35,462900,KoAct 바이오헬스케어액티브,29.0,28.8
35,236350,TIGER 인도니프티50레버리지(합성),27.57,32.23
35,500037,신한 레버리지 금 선물 ETN,23.55,28.32
35,385510,KODEX K-신재생에너지액티브,26.4,28.84
35,570059,한투 레버리지 금 선물 ETN,26.27,26.2
35,550041,N2 미국 IT TOP5 ETN(H),29.3,27.77
35,287180,ARIRANG 미국나스닥테크,25.0,24.72
35,450910,SOL 코스닥150,27.75,29.14
35,463250,TIGER 스페이스테크iSelect,25.34,30.13
35,433500,ACE 원자력테마딥서치,26.53,25.81
35,461450,KODEX 코스닥글로벌,24.54,29.72
35,461580,TIGER 코스닥글로벌,27.33,31.23
35,419170,HANARO 미국메타버스iSelect,23.77,26.31
36,329180,HD현대중공업,25.15,41.38
36,011790,SKC,26.72,42.91
36,022100,포스코DX,23.99,44.51
36,079550,LIG넥스원,26.5,45.33
36,307950,현대오토에버,25.86,48.01
36,011780,금호석유,26.78,44.74
36,272210,한화시스템,27.66,44.31
36,005850,에스엘,27.89,45.39
36,298050,효성첨단소재,26.49,46.48
36,009240,한샘,23.32,42.94
36,003090,대웅,24.88,48.24
36,145720,덴티움,29.17,46.88
36,178920,PI첨단소재,28.66,45.6
36,003030,세아제강지주,24.86,42.62
36,195870,해성디에스,25.47,44.46
36,001820,삼화콘덴서,25.0,47.77
36,003220,대원제약,23.37,43.25
36,008110,대동전자,23.9,46.82
36,483320,ACE 엔비디아밸류체인액티브,24.63,45.81
36,077500,유니퀘스트,25.27,45.71
36,610061,메리츠 3X 레버리지 국채30년 ETN,27.5,40.58
36,010640,진양폴리,25.14,43.94
36,243880,TIGER 200IT레버리지,33.69,43.8
36,007815,코리아써우,24.33,44.47
37,192650,드림텍,21.41,58.77
37,007860,서연,27.08,57.44
37,002900,TYM,24.38,57.69
37,025820,이구산업,26.47,54.54
37,010820,퍼스텍,23.57,59.92
37,020120,키다리스튜디오,25.19,59.38
37,123690,한국화장품,26.63,60.31
37,002210,동성제약,27.54,57.72
37,047400,유니온머티리얼,24.48,56.05
37,007110,일신석재,24.5,60.07
37,013360,일성건설,25.01,60.59
37,071090,하이스틸,29.15,61.08
37,009835,한화솔루션우,25.76,55.79
37,005360,모나미,22.09,58.48
37,003535,한화투자증권우,24.38,59.71
37,570061,한투 레버리지 은 선물 ETN,25.88,55.11
37,550064,N2 레버리지 은 선물 ETN(H),22.75,56.38
37,610016,메리츠 레버리지 은 선물 ETN(H),21.47,59.03
37,000885,한화우,25.84,60.2
37,000225,유유제약1우,27.79,57.49
37,001065,JW중외제약우,26.26,56.12
