,Return,Std Dev,Symbol(Name)
367380,23.65,20.32,367380 (ACE 미국나스닥100)
002840,29.99,29.88,002840 (미원상사)
336370,75.95,67.93,336370 (솔루스첨단소재)
145720,26.6,46.97,145720 (덴티움)
000210,4.47,40.03,000210 (DL)
009450,26.76,39.8,009450 (경동나비엔)
019170,41.81,65.2,019170 (신풍제약)
453540,4.65,1.43,453540 (TIGER 25-10 회사채(A+이상)액티브)
085620,1.23,31.72,085620 (미래에셋생명)
007340,19.84,31.53,007340 (DN오토모티브)
248070,-5.93,39.14,248070 (솔루엠)
950210,-2.95,63.39,950210 (프레스티지바이오파마)
229200,6.8,27.26,229200 (KODEX 코스닥150)
000400,1.18,37.24,000400 (롯데손해보험)
002710,30.73,48.41,002710 (TCC스틸)
285130,6.43,49.78,285130 (SK케미칼)
356540,1.11,4.17,356540 (ACE 종합채권(AA-이상)KIS액티브)
229640,36.9,51.11,229640 (LS에코에너지)
003540,4.11,27.59,003540 (대신증권)
000815,10.37,22.96,000815 (삼성화재우)
100090,24.7,52.67,100090 (SK오션플랜트)
001680,15.15,35.79,001680 (대상)
396500,11.61,27.8,396500 (TIGER Fn반도체TOP10)
178920,26.88,45.89,178920 (PI첨단소재)
023590,14.42,41.57,023590 (다우기술)
003570,9.5,35.32,003570 (SNT다이내믹스)
066575,5.32,33.86,066575 (LG전자우)
271940,-33.05,42.03,271940 (일진하이솔루스)
005180,8.04,31.02,005180 (빙그레)
192400,3.11,37.56,192400 (쿠쿠홀딩스)
447820,6.19,1.16,447820 (TIGER 24-10 회사채(A+이상)액티브)
001530,22.57,35.6,001530 (DI동일)
025540,17.56,36.89,025540 (한국단자)
700026,3.6,0.13,700026 (하나 CD금리투자 ETN)
214320,-0.92,29.32,214320 (이노션)
069260,5.64,32.44,069260 (TKG휴켐스)
005250,14.08,41.4,005250 (녹십자홀딩스)
281820,21.22,49.65,281820 (케이씨텍)
039130,7.54,39.64,039130 (하나투어)
000640,7.91,35.69,000640 (동아쏘시오홀딩스)
005420,29.56,59.59,005420 (코스모화학)
002350,8.13,37.28,002350 (넥센타이어)
003530,3.87,43.27,003530 (한화투자증권)
550082,3.76,0.17,550082 (N2 KIS CD금리투자 ETN)
348950,-5.13,15.19,348950 (제이알글로벌리츠)
436140,5.46,5.75,436140 (SOL 종합채권(AA-이상)액티브)
456040,-22.23,43.66,456040 (OCI)
157450,2.46,10.89,157450 (TIGER 단기통안채)
153130,1.95,0.34,153130 (KODEX 단기채권)
003850,20.95,40.5,003850 (보령)
004800,7.83,36.84,004800 (효성)
476550,7.97,11.89,476550 (TIGER 미국30년국채프리미엄액티브(H))
090460,33.39,51.33,090460 (비에이치)
294400,6.21,19.16,294400 (KOSEF 200TR)
152100,6.66,16.47,152100 (PLUS 200)
105630,19.73,44.77,105630 (한세실업)
003030,23.47,42.62,003030 (세아제강지주)
020560,4.88,43.36,020560 (아시아나항공)
089590,-7.99,41.06,089590 (제주항공)
268280,15.06,28.19,268280 (미원에스씨)
006110,39.76,52.25,006110 (삼아알미늄)
458760,14.46,10.4,458760 (TIGER 미국배당+7%프리미엄다우존스)
093370,16.49,48.24,093370 (후성)
114090,3.39,38.44,114090 (GKL)
032350,5.49,51.22,032350 (롯데관광개발)
001060,18.99,47.26,001060 (JW중외제약)
006650,18.76,47.47,006650 (대한유화)
071970,-11.65,71.36,071970 (HD현대마린엔진)
005440,3.42,30.57,005440 (현대지에프홀딩스)
005880,-12.87,58.01,005880 (대한해운)
001430,9.89,41.69,001430 (세아베스틸지주)
010780,20.76,41.65,010780 (아이에스동서)
181710,-3.13,39.6,181710 (NHN)
049770,17.22,36.24,049770 (동원F&B)
344820,1.95,41.94,344820 (KCC글라스)
139260,10.35,22.22,139260 (TIGER 200 IT)
006120,6.5,38.43,006120 (SK디스커버리)
003960,19.59,42.11,003960 (사조대림)
009900,6.37,56.29,009900 (명신산업)
017960,12.16,39.99,017960 (한국카본)
192650,22.56,59.17,192650 (드림텍)
003240,3.37,31.68,003240 (태광산업)
530031,6.05,80.3,530031 (삼성 레버리지 WTI원유 선물 ETN)
451540,6.08,4.05,451540 (TIGER 종합채권(AA-이상)액티브)
381970,-6.4,53.0,381970 (케이카)
000370,0.58,34.72,000370 (한화손해보험)
403550,-4.75,48.94,403550 (쏘카)
003280,15.02,66.12,003280 (흥아해운)
006380,-3.66,53.48,006380 (카프로)
064960,9.53,36.5,064960 (SNT모티브)
170900,0.49,37.68,170900 (동아에스티)
012630,0.75,39.64,012630 (HDC)
030190,24.59,38.61,030190 (NICE평가정보)
477080,3.69,0.15,477080 (RISE CD금리액티브(합성))
000070,11.41,40.19,000070 (삼양홀딩스)
446720,8.81,12.21,446720 (SOL 미국배당다우존스)
016380,-19.28,62.43,016380 (KG스틸)
453870,28.66,13.29,453870 (TIGER 인도니프티50)
368590,22.13,20.32,368590 (RISE 미국나스닥100)
196230,1.8,0.21,196230 (RISE 단기통안채)
272580,1.93,0.22,272580 (TIGER 단기채권액티브)
293940,6.14,16.46,293940 (신한알파리츠)
462010,-30.9,53.81,462010 (TIGER 2차전지소재Fn)
003470,-2.77,38.62,003470 (유안타증권)
550057,-2.82,11.19,550057 (N2 코스피 변동성 매칭형 양매도 ETN)
114800,-3.83,17.75,114800 (KODEX 인버스)
030610,-0.99,30.59,030610 (교보증권)
000670,1.37,33.46,000670 (영풍)
329750,5.2,8.88,329750 (TIGER 미국달러단기채권액티브)
014830,12.23,32.47,014830 (유니드)
390390,36.21,30.79,390390 (KODEX 미국반도체MV)
057050,-2.79,30.56,057050 (현대홈쇼핑)
314250,33.99,30.15,314250 (KODEX 미국빅테크10(H))
008730,13.68,36.02,008730 (율촌화학)
500019,6.65,78.69,500019 (신한 레버리지 WTI원유 선물 ETN(H))
383800,-13.37,20.83,383800 (LX홀딩스)
00680K,-1.33,21.19,00680K (미래에셋증권2우B)
458250,-4.07,25.94,458250 (TIGER 미국30년국채스트립액티브(합성 H))
091810,-3.49,49.16,091810 (티웨이항공)
007700,32.08,50.87,007700 (F&F홀딩스)
091160,10.13,26.0,091160 (KODEX 반도체)
329200,4.96,13.06,329200 (TIGER 리츠부동산인프라)
002030,15.46,30.31,002030 (아세아)
145990,4.62,37.63,145990 (삼양사)
016800,7.31,29.6,016800 (퍼시스)
091180,8.78,25.56,091180 (KODEX 자동차)
371160,-11.35,35.23,371160 (TIGER 차이나항셍테크)
195870,20.82,44.82,195870 (해성디에스)
017940,3.95,24.74,017940 (E1)
580058,3.61,0.16,580058 (KB KIS CD금리투자 ETN)
272450,-2.73,48.4,272450 (진에어)
017810,14.5,38.31,017810 (풀무원)
161000,17.43,46.25,161000 (애경케미칼)
002240,7.0,37.55,002240 (고려제강)
031430,4.23,41.03,031430 (신세계인터내셔날)
293180,6.31,19.21,293180 (HANARO 200)
241590,13.59,48.99,241590 (화승엔터프라이즈)
071320,-0.21,28.63,071320 (지역난방공사)
105190,6.98,18.49,105190 (ACE 200)
453810,29.49,13.72,453810 (KODEX 인도Nifty50)
284740,-2.8,38.24,284740 (쿠쿠홈시스)
018250,-1.25,42.94,018250 (애경산업)
469830,4.5,0.21,469830 (SOL 초단기채권액티브)
377740,-37.41,34.8,377740 (바이오노트)
439870,9.62,14.73,439870 (KODEX 국고채30년액티브)
446770,76.93,31.03,446770 (ACE 글로벌반도체TOP4 Plus SOLACTIVE)
003520,20.02,50.5,003520 (영진약품)
379780,17.7,14.69,379780 (RISE 미국S&P500)
278540,5.29,19.2,278540 (KODEX MSCI Korea TR)
033240,18.83,48.53,033240 (자화전자)
075580,31.43,49.5,075580 (세진중공업)
017860,-90.41,74.61,017860 (DS단석)
001200,2.85,38.61,001200 (유진투자증권)
161510,9.03,16.34,161510 (PLUS 고배당주)
130660,21.22,49.85,130660 (한전산업)
003160,41.38,60.02,003160 (디아이)
432320,2.4,18.35,432320 (KB스타리츠)
249420,17.66,61.95,249420 (일동제약)
005610,21.03,37.75,005610 (SPC삼립)
183190,11.63,40.58,183190 (아세아시멘트)
357120,2.25,15.12,357120 (코람코라이프인프라리츠)
007460,-6.82,69.14,007460 (에이프로젠)
460860,-27.57,56.33,460860 (동국제강)
002960,9.65,20.73,002960 (한국쉘석유)
148070,3.14,5.25,148070 (KOSEF 국고채10년)
126560,7.89,38.13,126560 (현대퓨처넷)
453340,9.54,23.75,453340 (현대그린푸드)
900140,8.41,43.59,900140 (엘브이엠씨홀딩스)
001820,23.7,47.97,001820 (삼화콘덴서)
091170,5.9,24.4,091170 (KODEX 은행)
058650,7.99,28.22,058650 (세아홀딩스)
465580,52.78,26.36,465580 (ACE 미국빅테크TOP7 Plus)
200880,7.69,51.54,200880 (서연이화)
003300,9.59,37.16,003300 (한일홀딩스)
467940,6.48,1.05,467940 (KODEX 25-11 회사채(A+이상)액티브)
093050,-0.48,32.46,093050 (LF)
034310,10.21,31.65,034310 (NICE)
094800,5.25,14.02,094800 (맵스리얼티1)
026890,31.46,53.7,026890 (스틱인베스트먼트)
001340,19.31,47.79,001340 (백광산업)
003545,4.6,18.86,003545 (대신증권우)
474220,53.1,24.41,474220 (TIGER 미국테크TOP10+10%프리미엄)
451000,6.69,4.75,451000 (PLUS 종합채권(AA-이상)액티브)
385560,-1.56,18.21,385560 (RISE KIS국고채30년Enhanced)
005090,3.02,35.16,005090 (SGC에너지)
476450,4.14,0.3,476450 (히어로즈 머니마켓액티브)
029530,0.46,24.81,029530 (신도리코)
286940,6.16,40.5,286940 (롯데이노베이트)
020000,6.98,36.52,020000 (한섬)
069660,6.89,18.09,069660 (KOSEF 200)
005389,14.63,26.58,005389 (현대차3우B)
077970,9.86,62.91,077970 (STX엔진)
114260,2.93,5.23,114260 (KODEX 국고채3년)
488770,4.03,0.17,488770 (KODEX 머니마켓액티브)
115390,1.25,39.89,115390 (락앤락)
402970,10.69,13.84,402970 (ACE 미국배당다우존스)
005810,11.72,28.51,005810 (풍산홀딩스)
456610,8.04,8.34,456610 (TIGER 미국달러SOFR금리액티브(합성))
033270,23.43,50.19,033270 (유나이티드제약)
108670,-1.09,35.32,108670 (LX하우시스)
448730,0.63,9.77,448730 (삼성FN리츠)
123890,-6.06,26.82,123890 (한국자산신탁)
003920,4.3,30.83,003920 (남양유업)
090435,7.79,35.38,090435 (아모레퍼시픽우)
003000,10.8,46.86,003000 (부광약품)
004690,3.43,30.15,004690 (삼천리)
097520,28.23,51.71,097520 (엠씨넥스)
251350,15.55,15.12,251350 (KODEX 선진국MSCI World)
00104K,15.62,32.51,00104K (CJ4우(전환))
003220,23.32,43.24,003220 (대원제약)
002310,16.67,33.97,002310 (아세아제지)
004700,23.27,36.35,004700 (조광피혁)
011930,10.48,54.6,011930 (신성이엔지)
036530,7.62,30.4,036530 (SNT홀딩스)
322000,40.39,65.84,322000 (HD현대에너지솔루션)
093230,2.2,74.17,093230 (이아이디)
451800,9.04,16.26,451800 (한화리츠)
226490,7.81,16.56,226490 (KODEX 코스피)
104700,5.35,33.96,104700 (한국철강)
455030,8.18,8.35,455030 (KODEX 미국달러SOFR금리액티브(합성))
441680,14.57,12.95,441680 (TIGER 미국나스닥100커버드콜(합성))
00088K,0.36,20.89,00088K (한화3우B)
486290,-24.94,29.14,486290 (TIGER 미국나스닥100+15%프리미엄초단기)
007160,14.16,39.56,007160 (사조산업)
006405,16.68,35.28,006405 (삼성SDI우)
520009,21.21,77.91,520009 (미래에셋 레버리지 원유선물혼합 ETN(H))
010690,19.98,49.06,010690 (화신)
027410,-5.45,39.68,027410 (BGF)
084690,15.56,39.05,084690 (대상홀딩스)
000155,16.21,35.53,000155 (두산우)
364980,7.21,37.83,364980 (TIGER 2차전지TOP10)
025860,1.35,41.65,025860 (남해화학)
306200,18.51,41.7,306200 (세아제강)
088260,3.8,16.82,088260 (이리츠코크렙)
060980,2.77,34.56,060980 (HL홀딩스)
479080,4.57,0.17,479080 (1Q 머니마켓액티브)
472870,-1.82,19.49,472870 (RISE 미국30년국채엔화노출(합성 H))
466920,60.44,36.95,466920 (SOL 조선TOP3플러스)
009290,11.76,35.58,009290 (광동제약)
013890,-15.55,49.5,013890 (지누스)
005690,24.34,62.71,005690 (파미셀)
005390,29.66,56.08,005390 (신성통상)
126720,-9.72,39.84,126720 (수산인더스트리)
454780,6.17,4.29,454780 (히어로즈 종합채권(AA-이상)액티브)
411060,19.76,13.65,411060 (ACE KRX금현물)
072710,2.5,23.17,072710 (농심홀딩스)
304660,-1.61,16.34,304660 (KODEX 미국30년국채울트라선물(H))
302190,1.77,4.13,302190 (TIGER 중장기국채)
