ticker,name,cluster,ma_short_window,ma_long_window,rsi_window,rsi_buy_threshold,rsi_sell_threshold,stop_loss_percent,take_profit_percent,Best Annual Returns
UAE.O,iShares MSCI UAE ETF,107,5,120,14,49.0,54.0,1.0,10.0,-0.03554315257826768
TAIL.K,Cambria Tail Risk ETF,120,5,60,14,34.0,54.0,1.0,10.0,-0.06923203596916461
ITEQ.K,Amplify Bluestar Israel Technology ETF,69,5,60,14,49.0,54.0,1.0,10.0,-0.07321736049037364
SDIV.K,Global X SuperDividend Etf,75,5,60,14,44.0,54.0,1.0,10.0,-0.09271056111163722
IVOL.K,Quadratic Interest Rate Vltly and Infltn Hdg ETF,112,5,120,14,29.0,54.0,1.0,10.0,-0.11918584159719903
SPXE.K,ProShares S&P 500 Ex-Energy ETF,80,5,60,14,39.0,54.0,1.0,10.0,-0.13865067437781886
CNRG.K,SPDR S&P Kensho Clean Power ETF,44,5,120,14,44.0,54.0,1.0,10.0,-0.19960637699310835
SPXV.K,ProShares S&P 500 Ex-Health Care ETF,80,5,60,14,39.0,54.0,1.0,10.0,-0.20559700926581204
SPXN.K,ProShares S&P 500 Ex-Financials ETF,80,5,60,14,39.0,54.0,1.0,10.0,-0.24627832149143414
PNQI.O,Invesco Nasdaq Internet ETF,64,5,120,14,34.0,54.0,1.0,10.0,-0.48674155771578875
