,Return,Std Dev,Symbol(Name)
FANG.O,38.34,48.35,FANG.O (다이아몬드백 에너지)
NOC,20.62,22.95,NOC (노스롭 그루만)
AIG,12.19,32.6,AIG (아메리칸 인터내셔널 그룹)
HSY,12.46,20.03,HSY (허쉬)
WST,26.11,27.52,WST (웨스트 파마슈티컬 서비시즈)
MDT,8.43,22.43,MDT (메드트로닉)
KEYS.K,21.45,30.16,KEYS.K (키사이트 테크놀로지스)
HLT,19.95,28.6,HLT (힐튼 월드와이드 홀딩스)
EXC.O,4.56,22.96,EXC.O (엑셀론)
DUK,7.74,18.86,DUK (듀크 에너지)
BLK,17.13,27.41,BLK (블랙록)
LVS,11.31,37.86,LVS (라스베이거스 샌즈)
BKR.O,20.25,34.74,BKR.O (베이커 휴즈)
IR,18.39,34.71,IR (잉가솔랜드)
TRGP.K,27.77,47.64,TRGP.K (타르가 리소스)
VLO,26.16,38.98,VLO (발레로 에너지)
UAL.O,17.23,47.28,UAL.O (유나이티드 에어라인스 홀딩스)
SLB,4.66,36.32,SLB (슐럼버거)
TRV,13.38,22.26,TRV (트래블러스 컴퍼니스)
URI,49.42,44.56,URI (유나이티드 렌탈스)
ORLY.O,29.4,25.36,ORLY.O (오레일리 오토모티브)
SPG,11.0,32.77,SPG (사이먼 프로퍼티 그룹)
KKR,25.83,34.49,KKR (KKR & Co)
PLD,16.04,26.69,PLD (프로로지스)
AZO,24.79,23.45,AZO (오토존)
APTV.K,18.71,36.45,APTV.K (앱티브)
AJG,21.04,20.36,AJG (아서 J 갤러거 앤 코)
KEY,11.39,36.8,KEY (키코프)
HCA,27.01,33.76,HCA (HCA 헬스케어)
CCI,10.85,23.54,CCI (크라운 캐슬)
AAL.O,3.73,49.79,AAL.O (아메리칸 에어라인스 그룹)
HPQ,9.82,34.24,HPQ (HP)
BK,10.44,27.04,BK (뱅크 오브 뉴욕 멜론)
HUM,20.57,29.67,HUM (휴마나)
GPN,17.93,30.19,GPN (글로벌 페이먼츠)
OKE,19.27,37.88,OKE (원오케이)
VMC,18.58,31.76,VMC (벌칸 머티리얼스)
STZ,25.96,28.56,STZ (컨스텔레이션 브랜즈)
TDG,35.29,31.23,TDG (트랜스다임 그룹)
CRL,18.92,31.46,CRL (찰스 리버 래보라토리스 인터내셔널)
ADSK.O,25.21,36.01,ADSK.O (오토데스크)
CME.O,14.33,24.42,CME.O (CME 그룹)
KMB,8.12,18.48,KMB (킴벌리클라크)
PWR,25.69,32.48,PWR (콴타 서비스)
PCAR.O,11.23,27.71,PCAR.O (파카)
WM,15.82,18.67,WM (웨이스트 매니지먼트)
MMC,19.53,19.74,MMC (마쉬 앤 맥레넌 컴퍼니)
O,7.9,24.29,O (리얼티 인컴)
VTR,7.78,31.67,VTR (벤타스)
