Cluster,Symbol,Name,Return,Std Dev
16,451150,에셋플러스 글로벌영에이지액티브,24.99,13.07
16,472490,HANARO 미국애그테크,21.5,19.73
17,458730,TIGER 미국배당다우존스,19.25,10.75
17,441680,TIGER 미국나스닥100커버드콜(합성),16.63,11.2
17,411060,ACE KRX금현물,18.17,13.71
17,434060,KODEX TDF2050액티브,17.15,10.02
17,461490,KBSTAR 글로벌자산배분액티브,17.99,5.6
17,481430,KBSTAR 국고채10년액티브,20.96,4.38
17,458750,TIGER 미국배당+3%프리미엄다우존스,15.64,10.07
17,469580,KBSTAR KP달러채권액티브,16.36,7.55
17,447620,SOL 미국TOP5채권혼합40 Solactive,18.33,8.73
17,468380,KODEX iShares미국하이일드액티브,20.68,7.59
17,460960,ACE 글로벌인컴TOP10 SOLACTIVE,16.75,7.83
17,447430,ACE 주주환원가치주액티브,15.65,12.24
17,468630,KODEX iShares미국투자등급회사채액티브,21.06,7.93
17,442570,KBSTAR TDF2050액티브,16.03,11.38
17,433980,KODEX TDF2040액티브,14.61,8.96
17,480460,WOORI 한국부동산TOP3플러스,20.05,9.68
17,435550,히어로즈 TDF2050액티브,17.31,11.51
17,435540,히어로즈 TDF2040액티브,16.41,10.92
17,442560,KBSTAR TDF2040액티브,14.85,11.02
17,433880,ARIRANG TDF2060액티브,18.1,13.3
17,433870,ARIRANG TDF2050액티브,14.91,10.97
18,315930,KODEX Top5PlusTR,17.3,21.68
18,396500,TIGER Fn반도체TOP10,19.55,26.07
18,388420,KBSTAR 비메모리반도체액티브,18.43,28.47
18,143860,TIGER 헬스케어,11.63,28.36
18,395270,HANARO Fn K-반도체,15.08,24.21
18,326240,KBSTAR IT플러스,16.71,22.96
18,462900,KoAct 바이오헬스케어액티브,19.27,28.78
18,304940,KODEX 미국나스닥100선물(H),19.31,24.38
18,363580,KODEX 200IT TR,13.99,22.1
18,421320,ARIRANG 우주항공&UAM iSelect,19.86,23.54
18,411420,KODEX 미국메타버스나스닥액티브,11.65,26.81
18,315960,KBSTAR 대형고배당10TR,19.42,22.53
18,395160,KODEX Fn시스템반도체,13.55,26.37
18,367760,KBSTAR Fn5G테크,12.75,25.1
